Order,DES Station ID,DES Alias ID,Station Name,Town,Station Type,Latitude DecDeg,Longitude DecDeg,Description,Waterbody#,Sample Date,EPA Designation,Depth,Date Filtered sample brought EPA,Date Unfiltered sample brought EPA,Filtered-DES,Unfiltered-DES?
60,SUNLNWLD,,LITTLE SUNAPEE LAKE-DEEP SPOT,NEW LONDON,LAKE/POND,43.433083,-72.0118,DEEP SPOT,16,8/12/2014,WL#1,3.0,?,,,?
61,Little Sunapee SS#1,,,NEW LONDON,LAKE/POND,43.435067,-72.019467,Beach sample,16,8/12/2014,SS#1,1.0,?,,,?
62,Little Sunapee WL#2,,,NEW LONDON,LAKE/POND,43.435,-72.014417,,16,8/12/2014,WL#2,3.0,?,,,?
63,Little Sunapee WL#3,,,NEW LONDON,LAKE/POND,43.4319,-72.022417,,16,8/12/2014,WL#3,3.0,?,,,?
64,SILHARD,,SILVER LAKE- DEEP SPOT,HARRISVILLE,LAKE/POND,42.961194,-72.14,DEEP SPOT,17,8/14/2014,WL#1,3.0,10-Sep,10-Sep,11/5/2014,11/5/2014
65,SILHARO,,SILVER LAKE-OUTLET IN STREAM,HARRISVILLE,LAKE/POND,42.949389,-72.1328,Beach sample,17,8/14/2014,SS#2,1.0,10-Sep,10-Sep,11/5/2014,11/5/2014
66,SILHARSB1,,SILVER LAKE-SANDY BCH INLET 1,HARRISVILLE,LAKE/POND,42.972111,-72.138703,Beach sample,17,8/14/2014,SS#1,1.0,10-Sep,10-Sep,11/5/2014,11/5/2014
67,,does not exist in EMD,Silver Lake WL#2,HARRISVILLE,LAKE/POND,42.971089,-72.139535,,17,8/14/2014,WL#2,3.0,10-Sep,10-Sep,11/5/2014,11/5/2014
68,,does not exist in EMD,Silver Lake WL#3,HARRISVILLE,LAKE/POND,42.951554,-72.13563,,17,8/14/2014,WL#3,3.0,10-Sep,10-Sep,11/5/2014,11/5/2014
69,ARMPIED,,ARMINGTON LAKE-DEEP SPOT,PIERMONT,LAKE/POND,43.958389,-71.9692,DEEP SPOT,18,8/14/2014,WL#1,3.0,10-Sep,10-Sep,11/6/2014,11/6/2014
70,TARPIED,,TARLETON LAKE-DEEP SPOT,PIERMONT,LAKE/POND,43.977,-71.963278,DEEP SPOT,19,8/14/2014,WL#1,7.0,10-Sep,10-Sep,11/6/2014,11/6/2014
71,CANCAND,,CANAAN STREET LAKE-DEEP SPOT,CANAAN,LAKE/POND,43.664194,-72.0339,DEEP SPOT,20,8/14/2014,WL#1,3.0,10-Sep,10-Sep,11/6/2014,11/6/2014
72,,does not exist in EMD,Canaan St. Lake WL#2,CANAAN,LAKE/POND,43.667996,-72.035809,,20,8/14/2014,WL#2,3.0,10-Sep,10-Sep,11/6/2014,11/6/2014
73,Eastman Pond WL#1,,,GRANTHAM,LAKE/POND,43.518283,-72.1151,,21,8/18/2014,WL#1,3.0,?,,,?
74,Eastman Pond WL#2,,,GRANTHAM,LAKE/POND,43.5318,-72.11845,,21,8/18/2014,WL#2,3.0,?,,,?
75,EASGTM8,,EASTMAN POND-NORTH COVE BEACH,GRANTHAM,LAKE/POND,43.5354,-72.1125,Beach sample,21,8/18/2014,SS#1,1.0,?,,,?
76,EASGTMWCB,EASGTMWCBB,EASTMAN POND-WEST COVE B BEACH,GRANTHAM,LAKE/POND,43.526308,-72.12274,Beach sample,21,8/18/2014,SS#2,1.0,?,,,?
77,AYEBARD,,AYERS POND-DEEP SPOT,BARRINGTON,LAKE/POND,43.256,-71.0433,DEEP SPOT,22,8/18/2014,WL#1,3.0,10-Sep,10-Sep,11/5/2014,11/5/2014
78,BCHFIRBRRLF,7700085,CAMP FIRESIDE-LEFT,BARRINGTON,LAKE/POND,43.261517,-71.033837,,22,8/18/2014,SS#1,1.0,10-Sep,10-Sep,11/5/2014,11/5/2014
79,,does not exist in EMD,Ayers Lake WL#2,BARRINGTON,LAKE/POND,43.253455,-71.048412,,22,8/18/2014,WL#2,3.0,10-Sep,10-Sep,11/5/2014,11/5/2014
80,,does not exist in EMD,Ayers Lake WL#3,BARRINGTON,LAKE/POND,43.258643,-71.038456,,22,8/18/2014,WL#3,3.0,10-Sep,10-Sep,11/5/2014,11/5/2014
