YourName,Organization,SiteID,WaterbodyName,State,SiteLocation,SampleDate,NameOfSamplers,WeatherConditions,TypeOfSample,Depth,Latitude,Longitude,SampleTime,Filtered?,Frozen?,Parameter,Value,AnalysisDate,AnalysisTime,Fluorometer,GPSType,Photos?,Flag?,Comments,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,WL-3,9,43.222912,-71.081729,,No,Yes,Phycocyanin,7.35,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,WL-1,10,43.222912,-71.081729,,No,Yes,Phycocyanin,21.37,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,WL-2,10,43.222912,-71.081729,,No,Yes,Phycocyanin,20.86,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,WL-3,10,43.222912,-71.081729,,No,Yes,Phycocyanin,21.37,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,WL-1,11,43.222912,-71.081729,,No,Yes,Phycocyanin,17.24,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,WL-2,11,43.222912,-71.081729,,No,Yes,Phycocyanin,17.24,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,WL-3,11,43.222912,-71.081729,,No,Yes,Phycocyanin,17.24,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,WL-1,12,43.222912,-71.081729,,No,Yes,Phycocyanin,5.76,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,WL-2,12,43.222912,-71.081729,,No,Yes,Phycocyanin,5.23,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,WL-3,12,43.222912,-71.081729,,No,Yes,Phycocyanin,5.23,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,WL-1,13,43.222912,-71.081729,,No,Yes,Phycocyanin,16.72,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,WL-2,13,43.222912,-71.081729,,No,Yes,Phycocyanin,17.24,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,WL-3,13,43.222912,-71.081729,,No,Yes,Phycocyanin,17.24,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,WL-1,14,43.222912,-71.081729,,No,Yes,Phycocyanin,1.00,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,WL-2,14,43.222912,-71.081729,,No,Yes,Phycocyanin,1.00,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,WL-3,14,43.222912,-71.081729,,No,Yes,Phycocyanin,1.52,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,WL-1,15,43.222912,-71.081729,,No,Yes,Phycocyanin,0.10,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,WL-2,15,43.222912,-71.081729,,No,Yes,Phycocyanin,0.10,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,WL-3,15,43.222912,-71.081729,,No,Yes,Phycocyanin,0.10,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,WL-1,0-4.5,43.222912,-71.081729,,No,Yes,Phycocyanin,8.41,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,WL-2,0-4.5,43.222912,-71.081729,,No,Yes,Phycocyanin,8.41,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,WL-3,0-4.5,43.222912,-71.081729,,No,Yes,Phycocyanin,8.41,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,Blank,,43.222912,-71.081729,,No,Yes,Chlorophyll,0.01,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,Blank,,43.222912,-71.081729,,No,Yes,Chlorophyll,0.00,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,Blank,,43.222912,-71.081729,,No,Yes,Chlorophyll,0.00,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,Blank,,43.222912,-71.081729,,No,Yes,Chlorophyll,0.00,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,WL-1,5,43.222912,-71.081729,,No,Yes,Chlorophyll,0.77,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,WL-2,5,43.222912,-71.081729,,No,Yes,Chlorophyll,0.76,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,WL-3,5,43.222912,-71.081729,,No,Yes,Chlorophyll,0.76,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,WL-1,6,43.222912,-71.081729,,No,Yes,Chlorophyll,0.55,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,WL-2,6,43.222912,-71.081729,,No,Yes,Chlorophyll,0.55,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,WL-3,6,43.222912,-71.081729,,No,Yes,Chlorophyll,0.51,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,WL-1,7,43.222912,-71.081729,,No,Yes,Chlorophyll,0.42,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,WL-2,7,43.222912,-71.081729,,No,Yes,Chlorophyll,0.42,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,WL-3,7,43.222912,-71.081729,,No,Yes,Chlorophyll,0.42,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,WL-1,8,43.222912,-71.081729,,No,Yes,Chlorophyll,0.51,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,WL-2,8,43.222912,-71.081729,,No,Yes,Chlorophyll,0.51,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,WL-3,8,43.222912,-71.081729,,No,Yes,Chlorophyll,0.49,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,WL-1,9,43.222912,-71.081729,,No,Yes,Chlorophyll,0.52,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
